feature,01_mitte,02_friedrichshain_kreuzberg,03_pankow,04_charlottenburg_wilmersdorf,05_spandau,06_steglitz_zehlendorf,07_tempelhof_schöneberg,08_neukölln,09_treptow_köpenick,10_marzahn_hellersdorf,11_lichtenberg,12_reinickendorf,total
Wahlberechtigte,203886,167015,280603,214149,157093,214308,228306,193111,205670,196840,197377,173418,2431776.0
Wählende,120218,107749,189607,142157,89377,152466,149122,111691,131557,110783,117697,107134,1529558.0
Gültige Stimmen,119268,107104,188364,141148,88357,151478,147896,110675,130292,109572,116649,106057,1516860.0
SPD,19746,15682,30464,29232,19002,30587,29421,23535,23446,17456,18958,21488,279017.0
CDU,24133,14317,40499,43134,34531,53572,45975,31101,33911,34847,29591,42617,428228.0
GRÜNE,32445,35905,42410,30419,8935,27876,32098,20509,15930,6056,13689,12692,278964.0
DIE LINKE,18898,22558,30465,10834,3989,8324,12567,14522,20670,15832,21655,4805,185119.0
AfD,6720,3935,17977,7439,9712,8665,9264,8325,18090,20999,16115,10630,137871.0
FDP,6062,3558,7351,10324,4045,12043,6780,3437,4790,3253,3526,5247,70416.0
Die PARTEI,1941,2615,3321,1508,1050,1370,1619,1547,2219,1303,2032,1045,21570.0
Tierschutzpartei,2319,2131,4431,2397,3038,2796,3013,2374,3607,3608,3874,2685,36273.0
PIRATEN,458,442,653,374,318,442,509,328,412,353,528,328,5145.0
Graue Panther,298,220,729,421,524,475,609,375,679,763,675,507,6275.0
NPD,59,37,184,44,78,64,75,84,294,390,188,94,1591.0
Gesundheitsforschung,185,139,567,204,218,243,263,214,440,544,510,241,3768.0
LKR,24,17,47,32,38,38,37,45,89,32,47,29,475.0
DKP,254,243,437,96,43,79,135,152,316,316,386,60,2517.0
SGP,82,87,106,47,30,39,70,55,65,98,91,31,801.0
BüSo,19,16,50,24,31,22,29,21,60,52,64,21,409.0
MENSCHLICHE WELT,x,x,x,x,x,x,163,x,x,x,x,x,163.0
B*,165,209,170,69,25,68,83,108,77,29,96,38,1137.0
ÖDP,118,109,262,125,138,176,147,88,185,75,117,134,1674.0
dieBasis,647,601,1626,718,410,793,697,421,686,599,593,551,8342.0
Bildet Berlin!,96,82,253,96,110,114,146,110,259,221,193,110,1790.0
Deutsche Konservative,x,x,x,16,x,x,x,x,x,x,x,x,16.0
Die Grauen,298,195,943,269,458,456,444,339,898,805,660,682,6447.0
Neue Demokraten,x,x,x,69,x,x,x,x,x,x,x,x,69.0
REP,x,x,x,x,x,x,x,x,x,x,x,44,44.0
du.,340,442,408,181,89,167,264,382,220,148,253,99,2993.0
BÜNDNIS21,42,58,90,52,46,67,55,47,99,85,92,53,786.0
FREIE WÄHLER,164,124,531,244,184,321,318,182,650,312,569,324,3923.0
Klimaliste Berlin,515,745,620,250,89,256,392,398,327,110,288,113,4103.0
MIETERPARTEI,294,338,755,235,234,261,243,234,334,364,421,189,3902.0
Die Humanisten,253,195,357,215,145,234,220,165,268,215,238,154,2659.0
Team Todenhöfer,831,618,406,512,427,429,853,943,363,229,259,456,6326.0
Volt,1862,1486,2252,1568,420,1501,1407,634,908,478,941,590,14047.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,%,nan,nan,nan,nan,nan,%,nan,nan,nan,nan,nan,nan
Wählende,59,64.5,67.6,66.4,56.9,71.1,65.3,57.8,64,56.3,59.6,61.8,62.9
Gültige Stimmen,100,100,100,100,100,100,100,100,100,100,100,100,100.0
